"Absolute path" "Relative path" "Class name"
"C:\pp var 4\dataset3\00000.jpg" dataset3\00000.jpg tulip
"C:\pp var 4\dataset3\03333.jpg" dataset3\03333.jpg tulip
"C:\pp var 4\dataset3\04984.jpg" dataset3\04984.jpg tulip
"C:\pp var 4\dataset3\00211.jpg" dataset3\00211.jpg tulip
"C:\pp var 4\dataset3\04651.jpg" dataset3\04651.jpg tulip
"C:\pp var 4\dataset3\00041.jpg" dataset3\00041.jpg tulip
"C:\pp var 4\dataset3\00837.jpg" dataset3\00837.jpg tulip
"C:\pp var 4\dataset3\00151.jpg" dataset3\00151.jpg tulip
"C:\pp var 4\dataset3\09902.jpg" dataset3\09902.jpg tulip
"C:\pp var 4\dataset3\05608.jpg" dataset3\05608.jpg tulip
"C:\pp var 4\dataset3\05422.jpg" dataset3\05422.jpg tulip
"C:\pp var 4\dataset3\04039.jpg" dataset3\04039.jpg tulip
"C:\pp var 4\dataset3\04077.jpg" dataset3\04077.jpg tulip
"C:\pp var 4\dataset3\05360.jpg" dataset3\05360.jpg tulip
"C:\pp var 4\dataset3\06487.jpg" dataset3\06487.jpg tulip
"C:\pp var 4\dataset3\02853.jpg" dataset3\02853.jpg tulip
"C:\pp var 4\dataset3\04820.jpg" dataset3\04820.jpg tulip
"C:\pp var 4\dataset3\02407.jpg" dataset3\02407.jpg tulip
"C:\pp var 4\dataset3\05633.jpg" dataset3\05633.jpg tulip
"C:\pp var 4\dataset3\06989.jpg" dataset3\06989.jpg tulip
"C:\pp var 4\dataset3\03998.jpg" dataset3\03998.jpg tulip
"C:\pp var 4\dataset3\03057.jpg" dataset3\03057.jpg tulip
"C:\pp var 4\dataset3\08682.jpg" dataset3\08682.jpg tulip
"C:\pp var 4\dataset3\03931.jpg" dataset3\03931.jpg tulip
"C:\pp var 4\dataset3\04805.jpg" dataset3\04805.jpg tulip
"C:\pp var 4\dataset3\00383.jpg" dataset3\00383.jpg tulip
"C:\pp var 4\dataset3\02723.jpg" dataset3\02723.jpg tulip
"C:\pp var 4\dataset3\03716.jpg" dataset3\03716.jpg tulip
"C:\pp var 4\dataset3\01209.jpg" dataset3\01209.jpg tulip
"C:\pp var 4\dataset3\00182.jpg" dataset3\00182.jpg tulip
"C:\pp var 4\dataset3\08774.jpg" dataset3\08774.jpg tulip
"C:\pp var 4\dataset3\09654.jpg" dataset3\09654.jpg tulip
"C:\pp var 4\dataset3\02226.jpg" dataset3\02226.jpg tulip
"C:\pp var 4\dataset3\02011.jpg" dataset3\02011.jpg tulip
"C:\pp var 4\dataset3\03892.jpg" dataset3\03892.jpg tulip
"C:\pp var 4\dataset3\04330.jpg" dataset3\04330.jpg tulip
"C:\pp var 4\dataset3\02116.jpg" dataset3\02116.jpg tulip
"C:\pp var 4\dataset3\02154.jpg" dataset3\02154.jpg tulip
"C:\pp var 4\dataset3\06492.jpg" dataset3\06492.jpg tulip
"C:\pp var 4\dataset3\07661.jpg" dataset3\07661.jpg tulip
"C:\pp var 4\dataset3\04368.jpg" dataset3\04368.jpg tulip
"C:\pp var 4\dataset3\02347.jpg" dataset3\02347.jpg tulip
"C:\pp var 4\dataset3\09576.jpg" dataset3\09576.jpg tulip
"C:\pp var 4\dataset3\06461.jpg" dataset3\06461.jpg tulip
"C:\pp var 4\dataset3\03282.jpg" dataset3\03282.jpg tulip
"C:\pp var 4\dataset3\07620.jpg" dataset3\07620.jpg tulip
"C:\pp var 4\dataset3\04143.jpg" dataset3\04143.jpg tulip
"C:\pp var 4\dataset3\03395.jpg" dataset3\03395.jpg tulip
"C:\pp var 4\dataset3\05156.jpg" dataset3\05156.jpg tulip
"C:\pp var 4\dataset3\07871.jpg" dataset3\07871.jpg tulip
"C:\pp var 4\dataset3\00298.jpg" dataset3\00298.jpg tulip
"C:\pp var 4\dataset3\01306.jpg" dataset3\01306.jpg tulip
"C:\pp var 4\dataset3\00850.jpg" dataset3\00850.jpg tulip
"C:\pp var 4\dataset3\08227.jpg" dataset3\08227.jpg tulip
"C:\pp var 4\dataset3\08800.jpg" dataset3\08800.jpg tulip
"C:\pp var 4\dataset3\04976.jpg" dataset3\04976.jpg tulip
"C:\pp var 4\dataset3\06861.jpg" dataset3\06861.jpg tulip
"C:\pp var 4\dataset3\07925.jpg" dataset3\07925.jpg tulip
"C:\pp var 4\dataset3\06621.jpg" dataset3\06621.jpg tulip
"C:\pp var 4\dataset3\04602.jpg" dataset3\04602.jpg tulip
"C:\pp var 4\dataset3\02428.jpg" dataset3\02428.jpg tulip
"C:\pp var 4\dataset3\02665.jpg" dataset3\02665.jpg tulip
"C:\pp var 4\dataset3\03507.jpg" dataset3\03507.jpg tulip
"C:\pp var 4\dataset3\06981.jpg" dataset3\06981.jpg tulip
"C:\pp var 4\dataset3\06102.jpg" dataset3\06102.jpg tulip
"C:\pp var 4\dataset3\02874.jpg" dataset3\02874.jpg tulip
"C:\pp var 4\dataset3\03777.jpg" dataset3\03777.jpg tulip
"C:\pp var 4\dataset3\06044.jpg" dataset3\06044.jpg tulip
"C:\pp var 4\dataset3\09565.jpg" dataset3\09565.jpg tulip
"C:\pp var 4\dataset3\01560.jpg" dataset3\01560.jpg tulip
"C:\pp var 4\dataset3\06115.jpg" dataset3\06115.jpg tulip
"C:\pp var 4\dataset3\08253.jpg" dataset3\08253.jpg tulip
"C:\pp var 4\dataset3\08959.jpg" dataset3\08959.jpg tulip
"C:\pp var 4\dataset3\07675.jpg" dataset3\07675.jpg tulip
"C:\pp var 4\dataset3\05025.jpg" dataset3\05025.jpg tulip
"C:\pp var 4\dataset3\06842.jpg" dataset3\06842.jpg tulip
"C:\pp var 4\dataset3\03100.jpg" dataset3\03100.jpg tulip
"C:\pp var 4\dataset3\09301.jpg" dataset3\09301.jpg tulip
"C:\pp var 4\dataset3\01834.jpg" dataset3\01834.jpg tulip
"C:\pp var 4\dataset3\01292.jpg" dataset3\01292.jpg tulip
"C:\pp var 4\dataset3\08699.jpg" dataset3\08699.jpg tulip
"C:\pp var 4\dataset3\08238.jpg" dataset3\08238.jpg tulip
"C:\pp var 4\dataset3\05151.jpg" dataset3\05151.jpg tulip
"C:\pp var 4\dataset3\05811.jpg" dataset3\05811.jpg tulip
"C:\pp var 4\dataset3\03354.jpg" dataset3\03354.jpg tulip
"C:\pp var 4\dataset3\02529.jpg" dataset3\02529.jpg tulip
"C:\pp var 4\dataset3\05531.jpg" dataset3\05531.jpg tulip
"C:\pp var 4\dataset3\08042.jpg" dataset3\08042.jpg tulip
"C:\pp var 4\dataset3\08615.jpg" dataset3\08615.jpg tulip
"C:\pp var 4\dataset3\05635.jpg" dataset3\05635.jpg tulip
"C:\pp var 4\dataset3\07532.jpg" dataset3\07532.jpg tulip
"C:\pp var 4\dataset3\06963.jpg" dataset3\06963.jpg tulip
"C:\pp var 4\dataset3\00177.jpg" dataset3\00177.jpg tulip
"C:\pp var 4\dataset3\07659.jpg" dataset3\07659.jpg tulip
"C:\pp var 4\dataset3\09390.jpg" dataset3\09390.jpg tulip
"C:\pp var 4\dataset3\05941.jpg" dataset3\05941.jpg tulip
"C:\pp var 4\dataset3\03658.jpg" dataset3\03658.jpg tulip
"C:\pp var 4\dataset3\01349.jpg" dataset3\01349.jpg tulip
"C:\pp var 4\dataset3\09005.jpg" dataset3\09005.jpg tulip
"C:\pp var 4\dataset3\06017.jpg" dataset3\06017.jpg tulip
"C:\pp var 4\dataset3\00864.jpg" dataset3\00864.jpg tulip
"C:\pp var 4\dataset3\05185.jpg" dataset3\05185.jpg tulip
"C:\pp var 4\dataset3\08328.jpg" dataset3\08328.jpg tulip
"C:\pp var 4\dataset3\03876.jpg" dataset3\03876.jpg tulip
"C:\pp var 4\dataset3\01254.jpg" dataset3\01254.jpg tulip
"C:\pp var 4\dataset3\08357.jpg" dataset3\08357.jpg tulip
"C:\pp var 4\dataset3\05624.jpg" dataset3\05624.jpg tulip
"C:\pp var 4\dataset3\07129.jpg" dataset3\07129.jpg tulip
"C:\pp var 4\dataset3\03981.jpg" dataset3\03981.jpg tulip
"C:\pp var 4\dataset3\00950.jpg" dataset3\00950.jpg tulip
"C:\pp var 4\dataset3\05252.jpg" dataset3\05252.jpg tulip
"C:\pp var 4\dataset3\04554.jpg" dataset3\04554.jpg tulip
"C:\pp var 4\dataset3\09369.jpg" dataset3\09369.jpg tulip
"C:\pp var 4\dataset3\00757.jpg" dataset3\00757.jpg tulip
"C:\pp var 4\dataset3\03212.jpg" dataset3\03212.jpg tulip
"C:\pp var 4\dataset3\06650.jpg" dataset3\06650.jpg tulip
"C:\pp var 4\dataset3\02680.jpg" dataset3\02680.jpg tulip
"C:\pp var 4\dataset3\09298.jpg" dataset3\09298.jpg tulip
"C:\pp var 4\dataset3\07800.jpg" dataset3\07800.jpg tulip
"C:\pp var 4\dataset3\09333.jpg" dataset3\09333.jpg tulip
"C:\pp var 4\dataset3\04218.jpg" dataset3\04218.jpg tulip
"C:\pp var 4\dataset3\03408.jpg" dataset3\03408.jpg tulip
"C:\pp var 4\dataset3\05448.jpg" dataset3\05448.jpg tulip
"C:\pp var 4\dataset3\08027.jpg" dataset3\08027.jpg tulip
"C:\pp var 4\dataset3\09077.jpg" dataset3\09077.jpg tulip
"C:\pp var 4\dataset3\05715.jpg" dataset3\05715.jpg tulip
"C:\pp var 4\dataset3\05451.jpg" dataset3\05451.jpg tulip
"C:\pp var 4\dataset3\07375.jpg" dataset3\07375.jpg tulip
"C:\pp var 4\dataset3\07437.jpg" dataset3\07437.jpg tulip
"C:\pp var 4\dataset3\06765.jpg" dataset3\06765.jpg tulip
"C:\pp var 4\dataset3\08833.jpg" dataset3\08833.jpg tulip
"C:\pp var 4\dataset3\08149.jpg" dataset3\08149.jpg tulip
"C:\pp var 4\dataset3\06064.jpg" dataset3\06064.jpg tulip
"C:\pp var 4\dataset3\02537.jpg" dataset3\02537.jpg tulip
"C:\pp var 4\dataset3\07549.jpg" dataset3\07549.jpg tulip
"C:\pp var 4\dataset3\05282.jpg" dataset3\05282.jpg tulip
"C:\pp var 4\dataset3\06380.jpg" dataset3\06380.jpg tulip
"C:\pp var 4\dataset3\05609.jpg" dataset3\05609.jpg tulip
"C:\pp var 4\dataset3\04913.jpg" dataset3\04913.jpg tulip
"C:\pp var 4\dataset3\08157.jpg" dataset3\08157.jpg tulip
"C:\pp var 4\dataset3\08433.jpg" dataset3\08433.jpg tulip
"C:\pp var 4\dataset3\09261.jpg" dataset3\09261.jpg tulip
"C:\pp var 4\dataset3\03270.jpg" dataset3\03270.jpg tulip
"C:\pp var 4\dataset3\04402.jpg" dataset3\04402.jpg tulip
"C:\pp var 4\dataset3\07644.jpg" dataset3\07644.jpg tulip
"C:\pp var 4\dataset3\00986.jpg" dataset3\00986.jpg tulip
"C:\pp var 4\dataset3\02804.jpg" dataset3\02804.jpg tulip
"C:\pp var 4\dataset3\02578.jpg" dataset3\02578.jpg tulip
"C:\pp var 4\dataset3\05697.jpg" dataset3\05697.jpg tulip
"C:\pp var 4\dataset3\08073.jpg" dataset3\08073.jpg tulip
"C:\pp var 4\dataset3\08995.jpg" dataset3\08995.jpg tulip
"C:\pp var 4\dataset3\01378.jpg" dataset3\01378.jpg tulip
"C:\pp var 4\dataset3\09213.jpg" dataset3\09213.jpg tulip
"C:\pp var 4\dataset3\09755.jpg" dataset3\09755.jpg tulip
"C:\pp var 4\dataset3\05939.jpg" dataset3\05939.jpg tulip
"C:\pp var 4\dataset3\00456.jpg" dataset3\00456.jpg tulip
"C:\pp var 4\dataset3\04142.jpg" dataset3\04142.jpg tulip
"C:\pp var 4\dataset3\04560.jpg" dataset3\04560.jpg tulip
"C:\pp var 4\dataset3\07974.jpg" dataset3\07974.jpg tulip
"C:\pp var 4\dataset3\00247.jpg" dataset3\00247.jpg tulip
"C:\pp var 4\dataset3\09198.jpg" dataset3\09198.jpg tulip
"C:\pp var 4\dataset3\09059.jpg" dataset3\09059.jpg tulip
"C:\pp var 4\dataset3\00687.jpg" dataset3\00687.jpg tulip
"C:\pp var 4\dataset3\01713.jpg" dataset3\01713.jpg tulip
"C:\pp var 4\dataset3\08269.jpg" dataset3\08269.jpg tulip
"C:\pp var 4\dataset3\05297.jpg" dataset3\05297.jpg tulip
"C:\pp var 4\dataset3\00129.jpg" dataset3\00129.jpg tulip
"C:\pp var 4\dataset3\05401.jpg" dataset3\05401.jpg tulip
"C:\pp var 4\dataset3\04785.jpg" dataset3\04785.jpg tulip
"C:\pp var 4\dataset3\06546.jpg" dataset3\06546.jpg tulip
"C:\pp var 4\dataset3\08028.jpg" dataset3\08028.jpg tulip
"C:\pp var 4\dataset3\07244.jpg" dataset3\07244.jpg tulip
"C:\pp var 4\dataset3\05652.jpg" dataset3\05652.jpg tulip
"C:\pp var 4\dataset3\07948.jpg" dataset3\07948.jpg tulip
"C:\pp var 4\dataset3\01408.jpg" dataset3\01408.jpg tulip
"C:\pp var 4\dataset3\00001.jpg" dataset3\00001.jpg tulip
"C:\pp var 4\dataset3\03312.jpg" dataset3\03312.jpg tulip
"C:\pp var 4\dataset3\06912.jpg" dataset3\06912.jpg tulip
"C:\pp var 4\dataset3\04830.jpg" dataset3\04830.jpg tulip
"C:\pp var 4\dataset3\04342.jpg" dataset3\04342.jpg tulip
"C:\pp var 4\dataset3\03610.jpg" dataset3\03610.jpg tulip
"C:\pp var 4\dataset3\02356.jpg" dataset3\02356.jpg tulip
"C:\pp var 4\dataset3\07684.jpg" dataset3\07684.jpg tulip
"C:\pp var 4\dataset3\00652.jpg" dataset3\00652.jpg tulip
"C:\pp var 4\dataset3\03882.jpg" dataset3\03882.jpg tulip
"C:\pp var 4\dataset3\01449.jpg" dataset3\01449.jpg tulip
"C:\pp var 4\dataset3\06832.jpg" dataset3\06832.jpg tulip
"C:\pp var 4\dataset3\03585.jpg" dataset3\03585.jpg tulip
"C:\pp var 4\dataset3\00887.jpg" dataset3\00887.jpg tulip
"C:\pp var 4\dataset3\04862.jpg" dataset3\04862.jpg tulip
"C:\pp var 4\dataset3\02359.jpg" dataset3\02359.jpg tulip
"C:\pp var 4\dataset3\09502.jpg" dataset3\09502.jpg tulip
"C:\pp var 4\dataset3\04627.jpg" dataset3\04627.jpg tulip
"C:\pp var 4\dataset3\05735.jpg" dataset3\05735.jpg tulip
"C:\pp var 4\dataset3\04355.jpg" dataset3\04355.jpg tulip
"C:\pp var 4\dataset3\06303.jpg" dataset3\06303.jpg tulip
"C:\pp var 4\dataset3\01439.jpg" dataset3\01439.jpg tulip
"C:\pp var 4\dataset3\01122.jpg" dataset3\01122.jpg tulip
"C:\pp var 4\dataset3\08035.jpg" dataset3\08035.jpg tulip
"C:\pp var 4\dataset3\05595.jpg" dataset3\05595.jpg tulip
"C:\pp var 4\dataset3\03752.jpg" dataset3\03752.jpg tulip
"C:\pp var 4\dataset3\01497.jpg" dataset3\01497.jpg tulip
"C:\pp var 4\dataset3\01444.jpg" dataset3\01444.jpg tulip
"C:\pp var 4\dataset3\06996.jpg" dataset3\06996.jpg tulip
"C:\pp var 4\dataset3\03905.jpg" dataset3\03905.jpg tulip
"C:\pp var 4\dataset3\00758.jpg" dataset3\00758.jpg tulip
"C:\pp var 4\dataset3\09221.jpg" dataset3\09221.jpg tulip
"C:\pp var 4\dataset3\00890.jpg" dataset3\00890.jpg tulip
"C:\pp var 4\dataset3\00806.jpg" dataset3\00806.jpg tulip
"C:\pp var 4\dataset3\09307.jpg" dataset3\09307.jpg tulip
"C:\pp var 4\dataset3\08805.jpg" dataset3\08805.jpg tulip
"C:\pp var 4\dataset3\04389.jpg" dataset3\04389.jpg tulip
"C:\pp var 4\dataset3\02447.jpg" dataset3\02447.jpg tulip
"C:\pp var 4\dataset3\03869.jpg" dataset3\03869.jpg tulip
"C:\pp var 4\dataset3\00470.jpg" dataset3\00470.jpg tulip
"C:\pp var 4\dataset3\06527.jpg" dataset3\06527.jpg tulip
"C:\pp var 4\dataset3\07597.jpg" dataset3\07597.jpg tulip
"C:\pp var 4\dataset3\06934.jpg" dataset3\06934.jpg tulip
"C:\pp var 4\dataset3\06036.jpg" dataset3\06036.jpg tulip
"C:\pp var 4\dataset3\01157.jpg" dataset3\01157.jpg tulip
"C:\pp var 4\dataset3\00378.jpg" dataset3\00378.jpg tulip
"C:\pp var 4\dataset3\07676.jpg" dataset3\07676.jpg tulip
"C:\pp var 4\dataset3\09594.jpg" dataset3\09594.jpg tulip
"C:\pp var 4\dataset3\07338.jpg" dataset3\07338.jpg tulip
"C:\pp var 4\dataset3\09775.jpg" dataset3\09775.jpg tulip
"C:\pp var 4\dataset3\04047.jpg" dataset3\04047.jpg tulip
"C:\pp var 4\dataset3\00079.jpg" dataset3\00079.jpg tulip
"C:\pp var 4\dataset3\03440.jpg" dataset3\03440.jpg tulip
"C:\pp var 4\dataset3\03462.jpg" dataset3\03462.jpg tulip
"C:\pp var 4\dataset3\08916.jpg" dataset3\08916.jpg tulip
"C:\pp var 4\dataset3\02071.jpg" dataset3\02071.jpg tulip
"C:\pp var 4\dataset3\04904.jpg" dataset3\04904.jpg tulip
"C:\pp var 4\dataset3\02743.jpg" dataset3\02743.jpg tulip
"C:\pp var 4\dataset3\03734.jpg" dataset3\03734.jpg tulip
"C:\pp var 4\dataset3\03941.jpg" dataset3\03941.jpg tulip
"C:\pp var 4\dataset3\06167.jpg" dataset3\06167.jpg tulip
"C:\pp var 4\dataset3\04645.jpg" dataset3\04645.jpg tulip
"C:\pp var 4\dataset3\06143.jpg" dataset3\06143.jpg tulip
"C:\pp var 4\dataset3\07499.jpg" dataset3\07499.jpg tulip
"C:\pp var 4\dataset3\00318.jpg" dataset3\00318.jpg tulip
"C:\pp var 4\dataset3\08372.jpg" dataset3\08372.jpg tulip
"C:\pp var 4\dataset3\09946.jpg" dataset3\09946.jpg tulip
"C:\pp var 4\dataset3\04358.jpg" dataset3\04358.jpg tulip
"C:\pp var 4\dataset3\00472.jpg" dataset3\00472.jpg tulip
"C:\pp var 4\dataset3\00337.jpg" dataset3\00337.jpg tulip
"C:\pp var 4\dataset3\00282.jpg" dataset3\00282.jpg tulip
"C:\pp var 4\dataset3\03316.jpg" dataset3\03316.jpg tulip
"C:\pp var 4\dataset3\02239.jpg" dataset3\02239.jpg tulip
"C:\pp var 4\dataset3\03907.jpg" dataset3\03907.jpg tulip
"C:\pp var 4\dataset3\06797.jpg" dataset3\06797.jpg tulip
"C:\pp var 4\dataset3\01286.jpg" dataset3\01286.jpg tulip
"C:\pp var 4\dataset3\07993.jpg" dataset3\07993.jpg tulip
"C:\pp var 4\dataset3\09709.jpg" dataset3\09709.jpg tulip
"C:\pp var 4\dataset3\03646.jpg" dataset3\03646.jpg tulip
"C:\pp var 4\dataset3\08745.jpg" dataset3\08745.jpg tulip
"C:\pp var 4\dataset3\02589.jpg" dataset3\02589.jpg tulip
"C:\pp var 4\dataset3\01376.jpg" dataset3\01376.jpg tulip
"C:\pp var 4\dataset3\02735.jpg" dataset3\02735.jpg tulip
"C:\pp var 4\dataset3\00447.jpg" dataset3\00447.jpg tulip
"C:\pp var 4\dataset3\04982.jpg" dataset3\04982.jpg tulip
"C:\pp var 4\dataset3\04804.jpg" dataset3\04804.jpg tulip
"C:\pp var 4\dataset3\00739.jpg" dataset3\00739.jpg tulip
"C:\pp var 4\dataset3\04262.jpg" dataset3\04262.jpg tulip
"C:\pp var 4\dataset3\05269.jpg" dataset3\05269.jpg tulip
"C:\pp var 4\dataset3\09224.jpg" dataset3\09224.jpg tulip
"C:\pp var 4\dataset3\07629.jpg" dataset3\07629.jpg tulip
"C:\pp var 4\dataset3\05809.jpg" dataset3\05809.jpg tulip
"C:\pp var 4\dataset3\09387.jpg" dataset3\09387.jpg tulip
"C:\pp var 4\dataset3\02568.jpg" dataset3\02568.jpg tulip
"C:\pp var 4\dataset3\02474.jpg" dataset3\02474.jpg tulip
"C:\pp var 4\dataset3\05221.jpg" dataset3\05221.jpg tulip
"C:\pp var 4\dataset3\08136.jpg" dataset3\08136.jpg tulip
"C:\pp var 4\dataset3\05299.jpg" dataset3\05299.jpg tulip
"C:\pp var 4\dataset3\05871.jpg" dataset3\05871.jpg tulip
"C:\pp var 4\dataset3\00237.jpg" dataset3\00237.jpg tulip
"C:\pp var 4\dataset3\05397.jpg" dataset3\05397.jpg tulip
"C:\pp var 4\dataset3\06561.jpg" dataset3\06561.jpg tulip
"C:\pp var 4\dataset3\09338.jpg" dataset3\09338.jpg tulip
"C:\pp var 4\dataset3\08508.jpg" dataset3\08508.jpg tulip
"C:\pp var 4\dataset3\01775.jpg" dataset3\01775.jpg tulip
"C:\pp var 4\dataset3\09090.jpg" dataset3\09090.jpg tulip
"C:\pp var 4\dataset3\07393.jpg" dataset3\07393.jpg tulip
"C:\pp var 4\dataset3\02988.jpg" dataset3\02988.jpg tulip
